Country Name,Country Code,Year,"average_value_Adjusted net enrollment rate, primary, female (% of primary school age children)","average_value_Adjusted net enrollment rate, primary, male (% of primary school age children)","average_value_Adolescent fertility rate (births per 1,000 women ages 15-19)",average_value_Births attended by skilled health staff (% of total),"average_value_Children out of school, primary, female","average_value_Children out of school, primary, male","average_value_Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)","average_value_Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)","average_value_Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)","average_value_Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","average_value_Fertility rate, total (births per woman)","average_value_Life expectancy at birth, female (years)","average_value_Life expectancy at birth, male (years)","average_value_Mortality rate, adult, female (per 1,000 female adults)","average_value_Mortality rate, adult, male (per 1,000 male adults)","average_value_Persistence to last grade of primary, female (% of cohort)","average_value_Persistence to last grade of primary, male (% of cohort)","average_value_Primary education, teachers (% female)","average_value_Progression to secondary school, female (%)","average_value_Progression to secondary school, male (%)","average_value_Repeaters, primary, female (% of female enrollment)","average_value_Repeaters, primary, male (% of male enrollment)","average_value_School enrollment, secondary, female (% gross)","average_value_School enrollment, secondary, female (% net)","average_value_School enrollment, secondary, male (% gross)","average_value_School enrollment, secondary, male (% net)","average_value_School enrollment, tertiary, female (% gross)","average_value_School enrollment, tertiary, male (% gross)","average_value_Secondary education, general pupils (% female)","average_value_Secondary education, pupils (% female)","average_value_Secondary education, teachers (% female)","average_value_Secondary education, vocational pupils (% female)","average_value_Survival to age 65, female (% of cohort)","average_value_Survival to age 65, male (% of cohort)","average_value_Trained teachers in primary education, female (% of female teachers)","average_value_Trained teachers in primary education, male (% of male teachers)"
Africa Eastern and Southern,AFE,1987,,,133.152267,,,,,,,,,,,,,,,,,,,,,,6.447605594,53.11614739,49.54512841,321.4563814,399.2229216,,,,,,,,,,,,,,,,,,49.53539495,41.85618127,,
Albania,ALB,1977,,,25.405,,,,,,,,,,,,,,,,,,,,,,3.966,71.046,67.943,108.946,144.162,,,,,,,,,,,,,,,,,,79.087492,73.3638,,
Albania,ALB,2019,,,19.5028,,,,,,,,,,,,,,,,,,,,,,1.597,80.201,77.002,49.088,92.179,,,85.33441925,,,,,95.65992737,,94.58516693,,73.3405304,46.94403839,,,67.17215729,,91.2997502,85.0858532,,
Armenia,ARM,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,2013,91.82654,95.28533,50.5596,99.9,8359,185,0,0,0,12.59840012,18.99834061,15.66057014,93.84777069,97.49217224,95.59149933,26.12925911,34.28834152,30.03313065,23.58526039,27.33567047,25.37970924,85.48262024,92.2408371,88.71620941,1.98,74.683,68.84,88.155,171.228,99.90720367,95.0528183,90.19799042,100,98.29169,0.23481,0.22,,,,,22.62381935,20.32954025,45.87309,,,,82.9828526,71.209068,99.5701828,99.55223846
Azerbaijan,AZE,2015,,,53.1988,99.8,,,0,0,0,12.58018017,19.07084084,15.68778992,93.84367371,97.52973938,95.60848999,26.03706932,34.40121078,30.04166031,23.57453918,27.41148949,25.41160011,85.36663818,92.255867,88.66507721,1.94,74.956,69.543,89.019,160.775,98.84091187,98.86058044,90.07836914,99.07956,99.7006,0.1427,0.14356,,,,,27.48077965,23.64263916,45.57556,,,,83.3968858,72.79368,,
Burkina Faso,BFA,1993,22.70059,34.49254,144.379,41.5,603560,527434,,,,,,,,,,,,,,,,,,,6.917,50.534,48.046,301.388,363.839,,,24.41563988,42.96841,41.81973,16.91377,16.4611,,4.78067,,8.88949,0.494619995,1.668400049,33.92323,,,,47.3518328,41.069166,,
Bulgaria,BGR,1989,,,72.1374,99.3,,,,,,,,,,,,,,,,,,,,,1.9,75.19,68.42,95.634,217.849,81.49403381,83.72518921,,93.72681,93.36703,1.78985,3.77765,101.8578186,,102.5988235,,27.63261032,22.50007057,51.97224,48.57816,,38.27071,83.2587106,66.7951694,,
Belarus,BLR,1963,,,17.1628,,,,,,,,,,,,,,,,,,,,,,2.4,71.908,66.215,104.974,199.634,,,,,,,,,,,,,,,,,,78.2407578,65.6662696,,
Brunei Darussalam,BRN,1984,77.27961,76.42624,45.3538,,3603,3971,,,,,,,,,,,,,,,,,,,3.675,70.059,67.752,127.354,167.931,,,54.65465164,,,8.58398,11.71727,66.26804352,54.28311,61.66550064,48.49775,3.824029922,2.051280022,52.08726,51.22588,30.76069069,39.28305,74.000989,68.2837634,,
Central African Republic,CAF,1966,,,176.2832,,,,,,,,,,,,,,,,,,,,,,5.946,40.998,37.776,425.522,490.868,,,,,,,,,,,,,,,,,,33.2632374,27.7062066,,
Central African Republic,CAF,1992,,,154.755,,,,,,,,,,,,,,,,,,,,,,5.729,50.262,46.332,392,445.189,,,,,,36.51271,37.66626,5.82502985,,14.14136982,,0.41949001,2.459009886,29.03959,29.38043,,39.13338,42.337231,33.947042,,
Chile,CHL,1960,,,81.7476,,,,,,,,,,,,,,,,,,,,,,4.697,60.056,54.604,232.055,332.087,,,,,,,,,,,,,,,,,,59.091698,47.6600982,,
China,CHN,2014,,,7.4802,99.9,,,,,,,,,,,,,,,,,,,,,1.656,77.972,73.517,66.173,102.543,,,60.97637939,,,0.07213,0.08758,,,,,45.75696945,39.43410873,47.90135,47.35246,51.03467941,45.37029,87.8708532,81.7352556,,
Cyprus,CYP,1974,77.08835,78.17256,24.432,,8190,8275,,,,,,,,,,,,,,,,,,,2.393,75.566,71.504,76.311,135.052,66.11312866,63.2939415,43.06887817,78.91657,68.74106,1.21359,1.64755,65.1548233,60.27251,66.5798111,60.97624,1.263110042,1.57791996,52.28687,48.04099,39.57529068,7.14897,85.4710688,77.1005428,,
Dominican Republic,DOM,1970,,,137.7426,,,,,,,,,,12.39999962,15.54833984,14,1.299999952,2.480629921,1.899999976,1.299999952,2.480629921,1.899999976,3.700000048,5.077400208,4.400000095,6.182,59.753,56.618,209.187,246.893,,,,,,,,,,,,,,,,,,59.8506166,54.0740028,,
Algeria,DZA,2012,,,11.556,,,,,,,,,,,,,,,,,,,,,,2.952,76.637,74.278,88.423,111.978,97.67105103,94.84867859,57.12511826,96.95983,100,4.87113,8.63382,,,,,38.56113052,26.0350399,51.12188,,,,84.454379,80.443364,,
Estonia,EST,1968,,,27.7348,,,,,,,,,,,,,,,,,,,,,,2.03,74.233,65.74,105.548,246.607,,,,,,,,,,,,,,,,,,82.0832918,63.3253612,,
